time,num_bacteria,initial_num_phage,initial_num_antibiotic,mean_resistance
1,1,3,3,0.6970817679080568
2,1,3,3,0.7945267916200377
3,1,3,3,0.7945267916200377
4,1,3,3,0.7945267916200377
5,1,3,3,1.0352741698069412
6,1,3,3,1.0352741698069412
7,1,3,3,1.0352741698069412
8,1,3,3,1.0352741698069412
9,1,3,3,1.0352741698069412
10,1,3,3,1.0352741698069412
11,1,3,3,1.0352741698069412
12,1,3,3,1.0352741698069412
13,1,3,3,1.0352741698069412
14,1,3,3,1.0352741698069412
15,1,3,3,1.0352741698069412
16,1,3,3,1.031296418648068
17,1,3,3,1.031296418648068
18,1,3,3,1.031296418648068
19,1,3,3,1.031296418648068
20,1,3,3,1.031296418648068
0,1,3,4,0.3835755110650265
1,1,3,4,0.3835755110650265
2,1,3,4,0.3835755110650265
3,1,3,4,0.3835755110650265
4,1,3,4,0.3835755110650265
5,1,3,4,0.3835755110650265
6,1,3,4,0.3835755110650265
7,1,3,4,0.3835755110650265
8,1,3,4,0.3835755110650265
9,1,3,4,0.3835755110650265
10,1,3,4,0.3835755110650265
11,1,3,4,0.3835755110650265
12,1,3,4,0.3835755110650265
13,1,3,4,0.3835755110650265
14,1,3,4,0.3835755110650265
15,1,3,4,0.3697634541178337
16,1,3,4,0.3697634541178337
17,1,3,4,0.3697634541178337
18,1,3,4,0.3697634541178337
19,1,3,4,0.3697634541178337
20,1,3,4,0.3697634541178337
0,1,3,5,0.16912116090468687
1,1,3,5,0.16912116090468687
2,1,3,5,0.16912116090468687
3,1,3,5,0.16912116090468687
4,1,3,5,0.16912116090468687
5,1,3,5,0.16912116090468687
6,1,3,5,0.16912116090468687
7,1,3,5,0.16912116090468687
8,1,3,5,0.16912116090468687
9,1,3,5,0.16912116090468687
10,1,3,5,0.16912116090468687
11,1,3,5,0.16912116090468687
12,1,3,5,0.16912116090468687
13,1,3,5,0.16912116090468687
14,1,3,5,0.16912116090468687
15,1,3,5,0.2012361400313127
16,1,3,5,0.2012361400313127
17,1,3,5,0.2012361400313127
18,1,3,5,0.2012361400313127
19,1,3,5,0.2012361400313127
20,1,3,5,0.2012361400313127
0,1,4,1,0.6002622781613881
1,1,4,1,0.8604054786169661
2,1,4,1,0.8604054786169661
3,1,4,1,0.8604054786169661
4,1,4,1,0.7977925248497535
5,1,4,1,0.7977925248497535
6,1,4,1,0.7977925248497535
7,1,4,1,0.7977925248497535
8,1,4,1,0.7977925248497535
9,1,4,1,0.7977925248497535
10,1,4,1,0.7977925248497535
11,1,4,1,0.7977925248497535
12,1,4,1,0.7977925248497535
13,1,4,1,0.7977925248497535
14,1,4,1,0.7977925248497535
15,1,4,1,0.7990098262409593
16,1,4,1,0.7990098262409593
17,1,4,1,0.7990098262409593
18,1,4,1,0.7990098262409593
19,1,4,1,0.7990098262409593
20,1,4,1,0.7990098262409593
0,1,4,2,0.3024537584623087
1,1,4,2,0.3024537584623087
2,1,4,2,0.3024537584623087
3,1,4,2,0.3024537584623087
4,1,4,2,0.3024537584623087
5,1,4,2,0.3024537584623087
6,1,4,2,0.3024537584623087
7,1,4,2,0.07160725225869874
8,1,4,2,0.07160725225869874
9,1,4,2,0.07160725225869874
10,1,4,2,0.07160725225869874
11,1,4,2,0.07160725225869874
12,1,4,2,0.07160725225869874
13,1,4,2,0.07160725225869874
14,1,4,2,0.07160725225869874
15,1,4,2,0.07160725225869874
16,1,4,2,0.07160725225869874
17,1,4,2,0.07160725225869874
18,1,4,2,0.07160725225869874
19,1,4,2,0.07160725225869874
20,0,4,2,
0,1,4,3,0.9657116487851553
1,1,4,3,0.9657116487851553
2,1,4,3,0.9657116487851553
3,1,4,3,0.9657116487851553
4,1,4,3,0.9657116487851553
5,1,4,3,0.9657116487851553
6,1,4,3,0.9657116487851553
7,1,4,3,0.9657116487851553
8,1,4,3,0.9657116487851553
9,1,4,3,0.9657116487851553
10,1,4,3,0.9657116487851553
11,1,4,3,0.9657116487851553
12,1,4,3,0.9657116487851553
13,1,4,3,0.9657116487851553
14,1,4,3,0.9657116487851553
15,1,4,3,0.9657116487851553
16,1,4,3,0.9657116487851553
17,1,4,3,0.9657116487851553
18,1,4,3,0.9657116487851553
19,1,4,3,0.9657116487851553
20,1,4,3,0.9657116487851553
0,1,4,4,0.3402144757864951
1,1,4,4,0.3402144757864951
2,1,4,4,0.3402144757864951
3,1,4,4,0.3402144757864951
4,1,4,4,0.3402144757864951
5,1,4,4,0.3402144757864951
6,1,4,4,0.3402144757864951
7,1,4,4,0.3402144757864951
8,1,4,4,0.3402144757864951
9,1,4,4,0.3402144757864951
10,1,4,4,0.3402144757864951
11,1,4,4,0.3402144757864951
12,1,4,4,0.3402144757864951
13,1,4,4,0.3402144757864951
14,1,4,4,0.3402144757864951
15,1,4,4,0.3402144757864951
16,1,4,4,0.3402144757864951
17,1,4,4,0.3402144757864951
18,1,4,4,0.3402144757864951
19,1,4,4,0.3402144757864951
20,1,4,4,0.3402144757864951
0,1,4,5,0.9121852795878698
1,1,4,5,0.9121852795878698
2,1,4,5,0.9121852795878698
3,1,4,5,0.9121852795878698
4,1,4,5,0.9121852795878698
5,1,4,5,0.9121852795878698
6,1,4,5,0.9901961554256336
7,1,4,5,0.9901961554256336
8,1,4,5,0.9901961554256336
9,1,4,5,0.9901961554256336
10,1,4,5,0.9901961554256336
11,1,4,5,0.9901961554256336
12,1,4,5,0.968423497205438
13,1,4,5,0.968423497205438
14,1,4,5,0.968423497205438
15,1,4,5,0.968423497205438
16,1,4,5,0.968423497205438
17,1,4,5,0.968423497205438
18,1,4,5,0.968423497205438
19,1,4,5,0.968423497205438
20,1,4,5,0.968423497205438
0,1,5,1,0.29018031926088406
1,1,5,1,0.29018031926088406
2,1,5,1,0.29018031926088406
3,1,5,1,0.29018031926088406
4,1,5,1,0.29018031926088406
5,1,5,1,0.29018031926088406
6,1,5,1,0.29018031926088406
7,1,5,1,0.29018031926088406
8,1,5,1,0.29018031926088406
9,1,5,1,0.29018031926088406
10,1,5,1,0.29018031926088406
11,1,5,1,0.29018031926088406
12,1,5,1,0.29018031926088406
13,1,5,1,0.29018031926088406
14,1,5,1,0.29018031926088406
15,1,5,1,0.29018031926088406
16,1,5,1,0.29018031926088406
17,1,5,1,0.29018031926088406
18,1,5,1,0.29018031926088406
19,1,5,1,0.29018031926088406
20,1,5,1,0.29018031926088406
0,1,5,2,0.860300283469079
1,1,5,2,0.860300283469079
2,1,5,2,0.860300283469079
3,1,5,2,0.7807761961401412
4,1,5,2,0.7807761961401412
5,1,5,2,0.7807761961401412
6,1,5,2,0.7807761961401412
7,1,5,2,0.7807761961401412
8,1,5,2,0.7807761961401412
9,1,5,2,0.7807761961401412
10,1,5,2,0.7807761961401412
11,1,5,2,0.7807761961401412
12,1,5,2,0.7807761961401412
13,1,5,2,0.7807761961401412
14,1,5,2,0.7807761961401412
15,1,5,2,0.7807761961401412
16,1,5,2,0.7807761961401412
17,1,5,2,0.7397266886899962
18,1,5,2,0.7397266886899962
19,1,5,2,0.7397266886899962
20,1,5,2,0.38802000808036863
0,1,5,3,0.03202553095983429
1,1,5,3,0.03202553095983429
2,1,5,3,0.03202553095983429
3,1,5,3,0.03202553095983429
4,1,5,3,0.03202553095983429
5,1,5,3,0.03202553095983429
6,1,5,3,0.03202553095983429
7,1,5,3,0.03202553095983429
8,1,5,3,0.03202553095983429
9,1,5,3,0.03202553095983429
10,1,5,3,0.03202553095983429
11,1,5,3,0.03202553095983429
12,1,5,3,0.03202553095983429
13,1,5,3,0.03202553095983429
14,1,5,3,0.03202553095983429
15,1,5,3,0.03202553095983429
16,1,5,3,0.03202553095983429
17,1,5,3,0.03202553095983429
18,1,5,3,0.03202553095983429
19,1,5,3,0.03202553095983429
20,1,5,3,0.03202553095983429
0,1,5,4,0.3940243799503449
1,1,5,4,0.3940243799503449
2,1,5,4,0.3940243799503449
3,1,5,4,0.3940243799503449
4,1,5,4,0.3940243799503449
5,1,5,4,0.3940243799503449
6,1,5,4,0.3940243799503449
7,1,5,4,0.3940243799503449
8,1,5,4,0.3940243799503449
9,1,5,4,0.3940243799503449
10,1,5,4,0.3940243799503449
11,1,5,4,0.22058657051261202
12,1,5,4,0.22058657051261202
13,1,5,4,0.22058657051261202
14,1,5,4,0.22058657051261202
15,1,5,4,0.22058657051261202
16,1,5,4,0.22058657051261202
17,1,5,4,0.22058657051261202
18,1,5,4,0.22058657051261202
19,1,5,4,0.22058657051261202
20,1,5,4,0.22058657051261202
0,1,5,5,0.42142523967314693
1,1,5,5,0.42142523967314693
2,1,5,5,0.42142523967314693
3,1,5,5,0.42142523967314693
4,1,5,5,0.42142523967314693
5,1,5,5,0.42142523967314693
6,1,5,5,0.42142523967314693
7,1,5,5,0.42142523967314693
8,1,5,5,0.42142523967314693
9,1,5,5,0.42142523967314693
10,1,5,5,0.42142523967314693
11,1,5,5,0.42142523967314693
12,1,5,5,0.80928671223449
13,1,5,5,0.80928671223449
14,1,5,5,0.80928671223449
15,1,5,5,0.9516391630149728
16,1,5,5,0.9516391630149728
17,1,5,5,0.9516391630149728
18,1,5,5,0.9516391630149728
19,1,5,5,0.9516391630149728
20,1,5,5,0.9516391630149728
0,2,1,1,0.2521438988483882
1,2,1,1,0.2521438988483882
2,2,1,1,0.2521438988483882
3,2,1,1,0.2521438988483882
4,2,1,1,0.2521438988483882
5,2,1,1,0.2521438988483882
6,2,1,1,0.2521438988483882
7,2,1,1,0.2521438988483882
8,2,1,1,0.2521438988483882
9,2,1,1,0.2521438988483882
10,2,1,1,0.45251660614112416
11,2,1,1,0.45251660614112416
